customer,st,gender,customer lifetime value,income,monthly premium auto,policy type,vehicle class,total claim amount
FS37417,Arizona,,3958.0,0.0,101.0,Personal Auto,SUV,484.8
ML29312,Oregon,,4499.49,16969.0,124.0,Personal Auto,SUV,704.768111
UB61619,Oregon,,4059.57,11621.0,108.0,Personal Auto,Four-Door Car,518.4
CD86811,Arizona,,4458.11,17622.0,65.0,Personal Auto,Four-Door Car,312.0
RU83859,California,,8110.33,11489.0,105.0,Personal Auto,Two-Door Car,504.0
FG63582,Oregon,,3339.76,0.0,94.0,Personal Auto,Two-Door Car,863.327324
NN71951,California,,24261.02,66525.0,100.0,Personal Auto,SUV,104.331355
WB37082,Arizona,,6613.97,0.0,63.0,Personal Auto,Four-Door Car,676.391482
SM52139,WA,,2930.69,33663.0,73.0,Personal Auto,Four-Door Car,350.4
FL82372,Oregon,,8672.19,22547.0,112.0,Corporate Auto,SUV,537.6
DP45816,AZ,,11638.67,61486.0,97.0,Personal Auto,Two-Door Car,465.258644
GW33762,Oregon,,6846.15,0.0,95.0,Personal Auto,Two-Door Car,456.0
RZ33670,California,,11727.78,29879.0,102.0,Personal Auto,Four-Door Car,500.254235
PY70169,Oregon,,22643.83,93011.0,113.0,Personal Auto,SUV,281.451042
MO91628,Oregon,,2614.47,65186.0,65.0,Personal Auto,Two-Door Car,5.434505
HW87852,Oregon,,2451.75,26840.0,64.0,Personal Auto,Four-Door Car,307.2
HB20453,Oregon,,6781.27,0.0,104.0,Personal Auto,Sports Car,982.399613
BN87372,Oregon,,4974.8,75644.0,65.0,Personal Auto,Two-Door Car,467.803638
YX23800,Oregon,,8591.6,38984.0,73.0,Personal Auto,Four-Door Car,350.4
DZ87709,Oregon,,5592.16,71811.0,71.0,Personal Auto,Four-Door Car,29.03416
XW13033,Nevada,,8009.47,20961.0,67.0,Personal Auto,Four-Door Car,321.6
SP81997,Washington,F,,41275.0,96.0,Personal Auto,Four-Door Car,41.122303
OM82309,California,,58166.55,61321.0,186.0,Personal Auto,Luxury Car,427.63121
ZU35962,California,,8025.23,0.0,77.0,Personal Auto,Two-Door Car,25.807685
VH85817,California,,5780.18,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
DT85712,California,,4118.54,34378.0,102.0,Personal Auto,SUV,489.6
YJ88573,Nevada,,2523.07,43072.0,63.0,Personal Auto,Four-Door Car,302.4
SQ19467,Oregon,,6554.22,25222.0,90.0,Personal Auto,Four-Door Car,475.623251
YB66933,Washington,F,5382.75,77552.0,68.0,Corporate Auto,Four-Door Car,45.215059
ET79815,California,,5926.73,23091.0,96.0,Personal Auto,Four-Door Car,460.8
QC35222,California,,2683.47,48269.0,69.0,Corporate Auto,Four-Door Car,282.151207
CJ15590,Oregon,,2695.18,32720.0,67.0,Personal Auto,Four-Door Car,321.6
OI48267,California,,6047.03,20396.0,76.0,Personal Auto,Four-Door Car,364.8
JY67916,Oregon,,13171.01,21513.0,119.0,Personal Auto,Two-Door Car,679.827592
OW15518,Washington,F,15950.02,0.0,87.0,Personal Auto,Two-Door Car,46.041452
CZ33664,Oregon,,2527.65,80744.0,63.0,Corporate Auto,Four-Door Car,11.879037
WK30175,Oregon,,2672.1,52822.0,67.0,Corporate Auto,Two-Door Car,350.529033
ON44465,California,,5313.29,0.0,77.0,Personal Auto,Four-Door Car,863.3947
TV87155,Oregon,,20946.19,69738.0,74.0,Personal Auto,Four-Door Car,492.127532
KH48895,AZ,,8375.35,17780.0,109.0,Personal Auto,SUV,132.588288
NZ30757,California,,4801.66,18107.0,62.0,Personal Auto,Four-Door Car,297.6
RI22468,AZ,,5745.94,57740.0,74.0,Personal Auto,Four-Door Car,269.905129
FZ30935,Oregon,,6066.12,32627.0,76.0,Personal Auto,Two-Door Car,380.036697
UG93476,California,,8002.31,0.0,107.0,Personal Auto,SUV,513.6
AB96670,California,,2393.92,0.0,70.0,Personal Auto,Four-Door Car,425.266308
XK64261,Oregon,,4762.82,65795.0,62.0,Corporate Auto,Two-Door Car,49.011099
EV68375,California,,4330.39,60475.0,107.0,Personal Auto,Four-Door Car,513.6
UN51653,California,,9402.73,0.0,130.0,Personal Auto,SUV,936.0
TO96662,Oregon,,6966.69,41837.0,88.0,Personal Auto,Four-Door Car,142.062768
MR52087,California,,7694.06,32303.0,65.0,Personal Auto,Four-Door Car,45.152521
DE75225,Oregon,,8717.56,0.0,117.0,Personal Auto,SUV,561.6
EP80820,California,,5928.75,40531.0,74.0,Personal Auto,Two-Door Car,30.567357
GU99037,Oregon,,2452.98,79898.0,62.0,Corporate Auto,Four-Door Car,271.606799
WI57118,California,,6701.57,56398.0,85.0,Personal Auto,Four-Door Car,408.0
GP39118,Washington,M,4996.55,71600.0,63.0,Personal Auto,Two-Door Car,46.158117
MQ14219,AZ,,8492.7,27804.0,109.0,Personal Auto,SUV,784.8
KN20603,Oregon,,7713.49,45506.0,66.0,Personal Auto,Four-Door Car,316.8
SG20925,Washington,F,5185.8,99428.0,6464.0,Personal Auto,Four-Door Car,48.046869
JI70886,California,,7290.07,0.0,102.0,Corporate Auto,SUV,489.6
VF72557,Oregon,,4772.94,20993.0,133.0,Personal Auto,SUV,638.4
OX28638,AZ,,6806.49,37839.0,86.0,Personal Auto,Two-Door Car,465.633954
SK55033,California,,2469.78,92711.0,62.0,Personal Auto,Two-Door Car,368.400146
OO88645,California,,3103.92,74665.0,78.0,Corporate Auto,Four-Door Car,236.902001
FM14335,Washington,F,10484.92,61108.0,89.0,Personal Auto,Four-Door Car,49.451117
CW82151,California,,8902.74,46833.0,112.0,Personal Auto,Sports Car,64.109663
DY22043,Oregon,,5499.45,88768.0,68.0,Personal Auto,Two-Door Car,326.4
SH36774,California,,15023.6,28262.0,192.0,Personal Auto,Luxury SUV,921.6
EM43724,Nevada,,2509.11,33555.0,63.0,Personal Auto,Four-Door Car,101.89645
FH85960,Oregon,,31221.75,42780.0,113.0,Personal Auto,Four-Door Car,542.4
XA55993,Oregon,,3133.5,58850.0,78.0,Personal Auto,Four-Door Car,143.747794
GO36627,AZ,,3837.45,21880.0,97.0,Special Auto,Four-Door Car,424.077159
QH48047,Oregon,,11790.5,25251.0,66.0,Personal Auto,Four-Door Car,316.8
HS28694,Washington,F,2829.86,25317.0,71.0,Personal Auto,Two-Door Car,50.422181
UH65059,AZ,,4305.81,24188.0,109.0,Personal Auto,Sports Car,523.2
FV21968,Nevada,,5973.98,41611.0,74.0,Special Auto,Four-Door Car,113.801497
QA87025,Oregon,,5670.44,28406.0,72.0,Personal Auto,Four-Door Car,192.87572
TQ13499,AZ,,4731.75,69833.0,118.0,Personal Auto,Four-Door Car,828.662719
BU44523,AZ,,8026.38,0.0,74.0,Corporate Auto,Four-Door Car,532.8
MS41162,AZ,,4022.96,0.0,117.0,Personal Auto,SUV,975.107098
PU25891,Oregon,,9618.31,80536.0,119.0,Special Auto,Sports Car,53.798708
LH92841,Washington,F,7255.95,88891.0,89.0,Personal Auto,Four-Door Car,50.528355
SX26335,Oregon,,9552.93,97732.0,79.0,Personal Auto,Four-Door Car,289.9122
AZ95587,AZ,F,10388.55,61222.0,89.0,Special Auto,Four-Door Car,392.604371
DS81757,Oregon,M,2470.12,0.0,74.0,Personal Auto,Two-Door Car,721.242206
OJ94107,AZ,M,5619.07,50335.0,140.0,Personal Auto,SUV,456.52385
LP84436,California,F,9047.12,0.0,127.0,Personal Auto,Sports Car,1087.995426
FF22360,Washington,F,2687.31,82210.0,68.0,Personal Auto,Four-Door Car,51.961915
LM19287,Oregon,F,3731.5,0.0,96.0,Personal Auto,Four-Door Car,460.8
ZU18643,Nevada,M,3660.77,64495.0,92.0,Corporate Auto,Four-Door Car,251.992083
AZ82578,California,F,7928.83,0.0,72.0,Corporate Auto,Four-Door Car,345.6
XC67861,Arizona,F,5011.75,28859.0,67.0,Corporate Auto,Two-Door Car,321.6
YC43143,Arizona,F,7988.26,77330.0,99.0,Personal Auto,Four-Door Car,99.257608
EK59571,Oregon,M,3885.46,0.0,105.0,Corporate Auto,Four-Door Car,504.0
PA38372,Washington,F,9357.74,33060.0,117.0,Personal Auto,Four-Door Car,56.731578
RO18530,Washington,M,2540.69,42557.0,65.0,Personal Auto,Four-Door Car,57.562324
PD27940,Arizona,M,4885.16,26372.0,126.0,Personal Auto,SUV,604.8
BS77946,Arizona,F,9753.31,17514.0,127.0,Personal Auto,SUV,8.312729
YM50253,California,Femal,2946.15,89270.0,74.0,Personal Auto,Four-Door Car,316.599228
NR15332,California,M,2581.11,29757.0,65.0,Personal Auto,Four-Door Car,312.0
RC62865,Oregon,M,3517.39,51814.0,92.0,Personal Auto,Four-Door Car,56.300724
CC15295,Oregon,F,9743.35,24028.0,82.0,Personal Auto,Four-Door Car,393.6
KA61892,Arizona,M,3873.65,28142.0,105.0,Personal Auto,Sports Car,701.708239
OS94884,Arizona,F,7649.28,52705.0,64.0,Personal Auto,Two-Door Car,128.705563
ND87334,California,M,2287.6,0.0,63.0,Corporate Auto,Two-Door Car,679.368378
OY51402,Washington,F,8255.76,54040.0,103.0,Personal Auto,SUV,59.987126
YL74911,California,F,8714.92,0.0,118.0,Personal Auto,SUV,566.4
GK92563,Washington,F,6819.23,22492.0,85.0,Personal Auto,Two-Door Car,61.654262
HL53154,California,M,7416.2,0.0,77.0,Personal Auto,Four-Door Car,554.4
RI78966,Oregon,M,7771.16,21876.0,68.0,Personal Auto,Four-Door Car,465.41477
IC13702,California,F,6968.34,0.0,69.0,Personal Auto,Four-Door Car,496.8
BE10809,California,F,4250.28,0.0,61.0,Personal Auto,Four-Door Car,292.8
HT87217,Oregon,F,19776.57,70699.0,82.0,Personal Auto,Four-Door Car,256.813837
TH95618,California,F,21343.47,0.0,74.0,Personal Auto,Four-Door Car,355.2
TS19868,California,M,2413.14,27501.0,63.0,Personal Auto,Four-Door Car,542.319401
LP45550,Oregon,F,15363.85,15897.0,101.0,Personal Auto,Four-Door Car,303.148399
QR87004,Nevada,F,8456.96,25141.0,73.0,Personal Auto,Four-Door Car,25.438063
OE75747,Nevada,F,2189.64,0.0,61.0,Personal Auto,Four-Door Car,292.8
DX91392,California,M,5780.18,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
AB72731,California,F,4639.98,28358.0,117.0,Personal Auto,Sports Car,84.024413
GX84338,Washington,F,3824.43,62530.0,95.0,Personal Auto,Four-Door Car,61.693771
IS12901,Arizona,F,5968.12,90972.0,74.0,Personal Auto,Two-Door Car,232.926145
BN90616,Washington,F,8590.33,63110.0,72.0,Personal Auto,Four-Door Car,68.179721
HH90090,California,F,4076.63,29549.0,104.0,Personal Auto,Sports Car,710.433775
IU25463,California,F,12252.6,0.0,115.0,Personal Auto,Four-Door Car,552.0
KC11055,Nevada,F,16936.27,39411.0,217.0,Personal Auto,Luxury Car,1122.658899
PD33979,Oregon,M,4892.44,21709.0,62.0,Personal Auto,Four-Door Car,408.374746
NK71023,Nevada,M,9942.3,67890.0,85.0,Personal Auto,Four-Door Car,408.0
AB13432,California,M,3735.84,0.0,110.0,Personal Auto,SUV,792.0
OZ97704,California,F,13117.52,84311.0,111.0,Personal Auto,SUV,532.8
UF46533,California,F,4574.52,99316.0,114.0,Corporate Auto,SUV,754.358929
XP47431,Arizona,F,5470.06,54507.0,138.0,Personal Auto,SUV,702.990032
GK73582,California,F,2978.85,64586.0,76.0,Personal Auto,Four-Door Car,206.837111
RV98763,Oregon,M,6410.97,61709.0,82.0,Personal Auto,Four-Door Car,275.395894
II62831,California,M,4479.02,94656.0,111.0,Special Auto,SUV,459.738128
XK33449,California,F,2383.73,0.0,69.0,Special Auto,Two-Door Car,496.8
TR85083,California,M,2764.49,61085.0,70.0,Personal Auto,Two-Door Car,336.0
EO95328,Oregon,F,7920.11,89284.0,67.0,Personal Auto,Two-Door Car,321.6
EN21086,Arizona,F,6889.1,0.0,63.0,Personal Auto,Four-Door Car,302.4
YL83902,WA,F,3274.19,31686.0,81.0,Personal Auto,Four-Door Car,430.994107
AZ62651,Oregon,M,9951.71,56855.0,255.0,Corporate Auto,Luxury SUV,1836.0
ZW25874,Oregon,M,2521.56,53703.0,67.0,Special Auto,Four-Door Car,67.632476
EH41854,WA,F,23706.11,0.0,96.0,Personal Auto,Two-Door Car,844.481918
MW70227,California,M,6047.03,20396.0,76.0,Personal Auto,Four-Door Car,364.8
SL22297,California,F,11140.3,27679.0,150.0,Personal Auto,SUV,722.486994
RV14138,Nevada,F,4334.06,23904.0,123.0,Personal Auto,SUV,590.4
UO62808,Arizona,F,2799.75,65351.0,69.0,Corporate Auto,Four-Door Car,481.027516
ZX64745,California,M,7923.14,0.0,113.0,Personal Auto,SUV,1124.427734
FL34139,California,M,3688.11,0.0,63.0,Personal Auto,Four-Door Car,669.682001
TS11219,California,M,12067.46,0.0,116.0,Personal Auto,SUV,1284.093173
XX12304,California,F,2924.98,64459.0,72.0,Personal Auto,Four-Door Car,240.259479
SD64087,California,M,15014.09,32961.0,190.0,Corporate Auto,SUV,912.0
OY38576,Oregon,F,9277.23,71416.0,116.0,Corporate Auto,SUV,556.8
BG76355,WA,F,6274.12,68964.0,78.0,Personal Auto,Four-Door Car,115.086827
IP66913,Cali,M,3886.65,78108.0,98.0,Personal Auto,Two-Door Car,470.4
LE95702,Cali,M,4386.28,10621.0,67.0,Special Auto,Four-Door Car,321.6
KX54357,WA,M,11365.27,84910.0,95.0,Corporate Auto,Two-Door Car,383.167471
EZ78112,Cali,Femal,5610.96,77493.0,70.0,Special Auto,Four-Door Car,307.963291
XN16891,Arizona,M,2912.89,81097.0,74.0,Personal Auto,Four-Door Car,355.2
XK31350,Oregon,Femal,6915.73,96610.0,85.0,Corporate Auto,Four-Door Car,520.364752
CC30924,Oregon,M,6262.66,30110.0,159.0,Corporate Auto,Sports Car,466.436375
IT78748,Oregon,Femal,6503.4,22081.0,84.0,Special Auto,Two-Door Car,451.670309
KY33386,WA,Femal,8007.4,0.0,112.0,Personal Auto,Sports Car,537.6
CO44221,Cali,M,2929.92,98473.0,72.0,Personal Auto,Four-Door Car,345.6
LK60013,Oregon,Femal,5969.55,97431.0,74.0,Personal Auto,Four-Door Car,355.2
DE21533,Cali,M,5473.16,93870.0,69.0,Personal Auto,Four-Door Car,331.2
YS94121,Nevada,M,5645.4,50366.0,72.0,Personal Auto,Four-Door Car,428.734656
UK68427,WA,M,6369.26,34498.0,83.0,Personal Auto,Two-Door Car,398.4
TE49565,Oregon,Femal,11833.77,16552.0,103.0,Personal Auto,SUV,494.4
RA88421,Oregon,Femal,6121.11,26787.0,77.0,Personal Auto,Four-Door Car,369.6
KQ51983,Nevada,M,5159.37,0.0,74.0,Personal Auto,Two-Door Car,831.752839
CD88896,Nevada,Femal,2514.59,43860.0,65.0,Corporate Auto,Four-Door Car,156.124914
YV22553,Arizona,M,8668.61,21474.0,114.0,Corporate Auto,SUV,373.428187
WU14435,Cali,M,4960.97,18174.0,66.0,Corporate Auto,Four-Door Car,395.934815
XV84099,Arizona,Femal,5504.14,0.0,73.0,Corporate Auto,Four-Door Car,350.4
RI24911,Arizona,Male,7507.46,60920.0,64.0,Personal Auto,Two-Door Car,231.201886
KO26461,Arizona,Male,32269.85,41520.0,90.0,Personal Auto,Four-Door Car,289.904105
HI14283,Oregon,Femal,5657.03,0.0,152.0,Personal Auto,SUV,729.6
PT50227,Arizona,Male,5061.76,0.0,68.0,Personal Auto,Two-Door Car,326.4
BH36570,Cali,Male,5912.78,72208.0,73.0,Personal Auto,Two-Door Car,350.4
TX17484,Cali,Femal,15182.28,53863.0,63.0,Personal Auto,Four-Door Car,105.765111
CT41158,WA,Male,10747.03,66446.0,136.0,Corporate Auto,SUV,639.464548
AO87348,WA,Male,2050.62,0.0,61.0,Personal Auto,Four-Door Car,292.8
DE55857,WA,Femal,2465.44,64997.0,63.0,Personal Auto,Four-Door Car,383.442328
LF66923,Nevada,Femal,5343.12,64460.0,66.0,Corporate Auto,Two-Door Car,316.8
CN24514,Arizona,Femal,8119.83,46618.0,67.0,Personal Auto,Four-Door Car,99.085943
UW32074,Oregon,Femal,4605.27,0.0,64.0,Corporate Auto,Four-Door Car,307.2
HP36979,Cali,Male,6408.79,49988.0,84.0,Personal Auto,Two-Door Car,566.935022
PP40919,Cali,Femal,2376.53,0.0,91.0,Personal Auto,Two-Door Car,436.8
RO73268,Cali,M,3211.07,16269.0,86.0,Corporate Auto,Two-Door Car,412.8
HO61691,Arizona,F,5094.52,72006.0,64.0,Personal Auto,Four-Door Car,307.2
BS13062,Arizona,F,25755.28,0.0,81.0,Personal Auto,Four-Door Car,388.8
FO35655,Oregon,M,8672.23,0.0,245.0,Corporate Auto,Luxury SUV,2345.413441
HR10526,Cali,M,8044.73,44320.0,67.0,Personal Auto,Four-Door Car,321.6
IA63417,Arizona,F,4001.52,19782.0,108.0,Personal Auto,Two-Door Car,773.470977
BH35016,Nevada,F,16706.12,63933.0,70.0,Personal Auto,Two-Door Car,424.883448
PK52952,Arizona,M,8544.41,28224.0,109.0,Personal Auto,SUV,523.2
OD76309,WA,F,7805.31,21073.0,106.0,Personal Auto,SUV,508.8
IL28481,Oregon,M,6112.76,63243.0,77.0,Personal Auto,Four-Door Car,364.240307
GY55092,Nevada,M,4772.94,20993.0,133.0,Personal Auto,SUV,638.4
UF33451,Oregon,F,10979.1,94827.0,135.0,Personal Auto,SUV,354.729129
CF15558,Cali,F,5004.26,39161.0,63.0,Personal Auto,Two-Door Car,283.995953
JM62924,WA,M,13223.04,37534.0,84.0,Personal Auto,Four-Door Car,403.2
EM66435,Oregon,F,2623.32,80210.0,65.0,Corporate Auto,Four-Door Car,20.543176
QX45933,Cali,M,17840.2,0.0,62.0,Personal Auto,Four-Door Car,385.115437
JI71369,Cali,F,5106.11,30110.0,64.0,Personal Auto,Four-Door Car,140.165035
JU93290,Arizona,F,17930.6,21708.0,68.0,Personal Auto,Four-Door Car,326.4
GU66096,Arizona,M,5457.34,94731.0,67.0,Personal Auto,Four-Door Car,321.6
UC33108,Cali,M,6563.64,32375.0,83.0,Personal Auto,Four-Door Car,398.4
LW93867,Oregon,M,4812.53,16531.0,63.0,Corporate Auto,Four-Door Car,102.879769
OU78470,Arizona,F,29328.04,32006.0,94.0,Corporate Auto,Four-Door Car,56.868289
XW90265,Arizona,F,5773.52,81676.0,72.0,Personal Auto,Two-Door Car,463.158502
HS67749,Cali,M,6847.12,71038.0,86.0,Corporate Auto,Four-Door Car,205.444066
VZ51506,Arizona,F,3595.31,0.0,103.0,Corporate Auto,Sports Car,741.6
UI64281,Nevada,F,22855.61,20832.0,65.0,Personal Auto,Two-Door Car,56.371967
AE98193,WA,M,7859.41,0.0,113.0,Personal Auto,SUV,813.6
AZ74055,Oregon,M,4115.58,52405.0,103.0,Personal Auto,Four-Door Car,494.4
XS76911,Arizona,F,5029.64,0.0,133.0,Personal Auto,Sports Car,795.864079
AY40674,WA,F,4821.42,26583.0,1005.0,Personal Auto,SUV,614.4
NA12740,Oregon,M,5004.31,25486.0,65.0,Special Auto,Two-Door Car,72.438681
UA84837,Arizona,M,8630.05,24065.0,111.0,Corporate Auto,Four-Door Car,532.8
DJ51510,Arizona,F,9322.09,70435.0,116.0,Personal Auto,Four-Door Car,67.881546
VM58985,Cali,M,16727.56,0.0,76.0,Personal Auto,Two-Door Car,402.636829
OH60605,Oregon,F,3652.53,39679.0,92.0,Personal Auto,Two-Door Car,641.388616
UO98052,Nevada,M,6158.6,0.0,89.0,Personal Auto,Four-Door Car,342.481173
NC53424,Cali,M,4376.08,0.0,69.0,Personal Auto,Two-Door Car,331.2
LQ13873,Nevada,M,5569.46,53565.0,71.0,Personal Auto,Four-Door Car,340.8
LA97014,WA,M,2576.51,37574.0,66.0,Personal Auto,Two-Door Car,412.101933
NB79936,WA,M,8346.98,48259.0,108.0,Personal Auto,Two-Door Car,73.700573
NT89061,Arizona,F,6323.92,78532.0,78.0,Personal Auto,Four-Door Car,374.4
AF10970,Arizona,F,5973.14,96163.0,73.0,Corporate Auto,Four-Door Car,350.4
ZG48513,Cali,M,4706.68,0.0,72.0,Personal Auto,Four-Door Car,345.6
JQ59145,Cali,Male,8093.41,0.0,114.0,Personal Auto,Sports Car,722.024742
FE84989,WA,Male,5035.74,72672.0,63.0,Personal Auto,Four-Door Car,259.361117
JT52858,Oregon,F,9027.87,99002.0,112.0,Personal Auto,Four-Door Car,537.6
MC62068,California,Male,7288.88,79494.0,91.0,Personal Auto,Four-Door Car,396.295614
EU27538,Oregon,Male,18042.48,35704.0,225.0,Personal Auto,Luxury Car,358.281562
RH42306,Arizona,F,4992.06,0.0,71.0,Corporate Auto,Four-Door Car,653.388564
US23612,Oregon,F,9102.27,26049.0,118.0,Personal Auto,Two-Door Car,121.032372
WV76014,Arizona,Male,2540.41,70125.0,64.0,Special Auto,Four-Door Car,92.813396
RK96223,California,Male,12941.89,52369.0,110.0,Personal Auto,SUV,528.0
MF82000,WA,female,2365.35,0.0,66.0,Special Auto,Four-Door Car,159.636956
FM46980,Arizona,Male,5720.77,41770.0,72.0,Personal Auto,Four-Door Car,476.156957
SY56792,Oregon,Male,7035.53,0.0,101.0,Corporate Auto,Four-Door Car,727.2
RF61565,California,M,2636.98,31911.0,67.0,Personal Auto,Four-Door Car,321.6
IM94808,Nevada,M,5395.83,70051.0,68.0,Corporate Auto,Four-Door Car,42.078345
VI14730,Oregon,M,8382.63,19683.0,117.0,Personal Auto,Sports Car,561.6
YR34119,WA,F,31161.75,30916.0,112.0,Personal Auto,SUV,200.11606
RR77985,Oregon,F,2887.74,0.0,80.0,Personal Auto,Four-Door Car,676.944023
QD28391,Washington,M,7425.85,84302.0,62.0,Personal Auto,Four-Door Car,76.609295
WV17090,California,M,25585.73,0.0,116.0,Corporate Auto,SUV,830.623064
TM23514,Oregon,M,10272.61,60145.0,132.0,Personal Auto,SUV,580.473259
MQ68407,Oregon,F,4376.36,63774.0,111.0,Personal Auto,Four-Door Car,60.036683
GJ59592,California,F,5318.9,25134.0,67.0,Corporate Auto,Four-Door Car,321.6
FY56083,Oregon,M,4719.76,37057.0,61.0,Personal Auto,Four-Door Car,47.53101
UA94723,Oregon,F,4428.03,58577.0,110.0,Personal Auto,SUV,303.872752
FW91032,California,M,5879.18,85857.0,73.0,Corporate Auto,Four-Door Car,100.620067
DE34457,Oregon,F,9416.91,70602.0,116.0,Personal Auto,SUV,481.339891
HD32044,Oregon,F,8288.16,33816.0,106.0,Corporate Auto,Four-Door Car,508.8
HH30454,Oregon,M,32654.84,0.0,153.0,Personal Auto,SUV,1101.6
AH84063,Oregon,F,4719.45,89642.0,121.0,Corporate Auto,SUV,86.320022
QA17596,California,F,3903.47,60068.0,98.0,Personal Auto,Two-Door Car,470.4
XI41052,California,F,5457.26,50044.0,139.0,Personal Auto,SUV,667.2
